Future_Date,Predicted_Close,DayofWk
8/19/2022,11.68,Friday
8/22/2022,12.02,Monday
8/23/2022,14.2,Tuesday
8/24/2022,14.11,Wednesday
8/25/2022,12.59,Thursday
8/26/2022,13.08,Friday
8/29/2022,12.24,Monday
8/30/2022,11.75,Tuesday
8/31/2022,12.85,Wednesday
9/1/2022,13.3,Thursday
9/2/2022,12.56,Friday
9/5/2022,12.22,Monday
9/6/2022,11.28,Tuesday
9/7/2022,11.72,Wednesday
9/8/2022,12.55,Thursday
9/9/2022,11.59,Friday
9/12/2022,12.32,Monday
9/13/2022,12.29,Tuesday
9/14/2022,12.39,Wednesday
9/15/2022,11.84,Thursday
9/16/2022,12.26,Friday
9/19/2022,13.9,Monday
9/20/2022,13.16,Tuesday
9/21/2022,13.43,Wednesday
9/22/2022,13.33,Thursday
9/23/2022,13.31,Friday
9/26/2022,12.56,Monday
9/27/2022,12.36,Tuesday
9/28/2022,14.25,Wednesday
9/29/2022,14.43,Thursday
9/30/2022,14.72,Friday
10/3/2022,15.37,Monday
10/4/2022,14.91,Tuesday
10/5/2022,14.83,Wednesday
10/6/2022,15.14,Thursday
10/7/2022,16.32,Friday
10/10/2022,16.13,Monday
10/11/2022,17.3,Tuesday
10/12/2022,16.78,Wednesday
10/13/2022,15.27,Thursday
10/14/2022,14.68,Friday
10/17/2022,13.8,Monday
10/18/2022,14.25,Tuesday
10/19/2022,14.35,Wednesday
10/20/2022,14.33,Thursday
10/21/2022,15.14,Friday
10/24/2022,16.64,Monday
10/25/2022,18,Tuesday
10/26/2022,18.46,Wednesday
10/27/2022,22.07,Thursday
10/28/2022,23.91,Friday
10/31/2022,22.35,Monday
11/1/2022,23.61,Tuesday
11/2/2022,25.47,Wednesday
11/3/2022,24.41,Thursday
11/4/2022,24.17,Friday
11/7/2022,24.79,Monday
11/8/2022,21.22,Tuesday
11/9/2022,19.1,Wednesday
11/10/2022,17.81,Thursday
